state_code,area_code,areatype_code,area_name
51,40060,M,"Richmond, VA"
51,40220,M,"Roanoke, VA"
51,44420,M,"Staunton-Waynesboro, VA"
51,47260,M,"Virginia Beach-Norfolk-Newport News, VA-NC"
51,49020,M,"Winchester, VA-WV"
51,5100000,S,Virginia
51,5100001,M,Southwest Virginia nonmetropolitan area
51,5100002,M,Southside Virginia nonmetropolitan area
51,5100003,M,Northeast Virginia nonmetropolitan area
51,5100004,M,Northwest Virginia nonmetropolitan area
53,13380,M,"Bellingham, WA"
53,14740,M,"Bremerton-Silverdale, WA"
53,28420,M,"Kennewick-Richland, WA"
53,31020,M,"Longview, WA"
53,34580,M,"Mount Vernon-Anacortes, WA"
53,36500,M,"Olympia-Tumwater, WA"
53,42660,M,"Seattle-Tacoma-Bellevue, WA"
53,44060,M,"Spokane-Spokane Valley, WA"
53,47460,M,"Walla Walla, WA"
53,48300,M,"Wenatchee, WA"
53,49420,M,"Yakima, WA"
53,5300000,S,Washington
53,5300006,M,Western Washington nonmetropolitan area
53,5300007,M,Eastern Washington nonmetropolitan area
54,13220,M,"Beckley, WV"
54,16620,M,"Charleston, WV"
54,26580,M,"Huntington-Ashland, WV-KY-OH"
54,34060,M,"Morgantown, WV"
54,37620,M,"Parkersburg-Vienna, WV"
54,48260,M,"Weirton-Steubenville, WV-OH"
54,48540,M,"Wheeling, WV-OH"
54,5400000,S,West Virginia
54,5400001,M,Southern West Virginia nonmetropolitan area
54,5400002,M,Northern West Virginia nonmetropolitan area
55,11540,M,"Appleton, WI"
55,20740,M,"Eau Claire, WI"
55,22540,M,"Fond du Lac, WI"
55,24580,M,"Green Bay, WI"
55,27500,M,"Janesville-Beloit, WI"
55,29100,M,"La Crosse-Onalaska, WI-MN"
55,31540,M,"Madison, WI"
55,33340,M,"Milwaukee-Waukesha-West Allis, WI"
55,36780,M,"Oshkosh-Neenah, WI"
55,39540,M,"Racine, WI"
55,43100,M,"Sheboygan, WI"
55,48140,M,"Wausau, WI"
55,5500000,S,Wisconsin
55,5500001,M,Northwestern Wisconsin nonmetropolitan area
55,5500002,M,Northeastern Wisconsin nonmetropolitan area
55,5500003,M,South Central Wisconsin nonmetropolitan area
55,5500004,M,Western Wisconsin nonmetropolitan area
56,16220,M,"Casper, WY"
56,16940,M,"Cheyenne, WY"
56,5600000,S,Wyoming
56,5600006,M,Western Wyoming nonmetropolitan area
56,5600007,M,Eastern Wyoming nonmetropolitan area
66,6600000,S,Guam
72,10380,M,"Aguadilla-Isabela, PR"
72,11640,M,"Arecibo, PR"
72,25020,M,"Guayama, PR"
72,32420,M,"Mayaguez, PR"
72,38660,M,"Ponce, PR"
72,41900,M,"San German, PR"
72,41980,M,"San Juan-Carolina-Caguas, PR"
72,7200000,S,Puerto Rico
72,7200006,M,Puerto Rico nonmetropolitan area
78,7800000,S,Virgin Islands
